time,pm2.5
06/02/2021 15:53,789 933 860 659
06/02/2021 16:03,788 936 864 662
06/02/2021 16:13,791 937 865 664
06/02/2021 16:23,795 938 868 668
06/02/2021 16:33,797 939 869 671
06/02/2021 16:43,792 940 870 673
06/02/2021 16:53,798 939 870 673
06/02/2021 17:03,800 939 870 675
06/02/2021 17:13,799 941 872 677
06/02/2021 17:23,802 942 875 680
06/02/2021 17:33,802 942 874 680
06/02/2021 17:43,803 944 878 685
06/02/2021 17:53,804 942 875 683
06/02/2021 18:04,806 945 879 688
06/02/2021 18:14,808 944 878 687
06/02/2021 18:24,806 944 879 689
06/02/2021 18:34,809 946 881 692
06/02/2021 18:44,811 948 883 695
06/02/2021 18:54,814 948 884 696
06/02/2021 19:04,814 948 883 696
06/02/2021 19:14,813 947 882 695
06/02/2021 19:24,814 948 882 696
06/02/2021 19:34,813 948 884 698
06/02/2021 19:44,813 947 882 696
06/02/2021 19:54,813 949 884 699
06/02/2021 20:04,812 946 881 696
06/02/2021 20:14,814 947 882 697
06/02/2021 20:24,812 946 881 696
06/02/2021 20:34,814 945 880 696
06/02/2021 20:44,815 947 883 698
06/02/2021 20:54,813 947 884 698
06/02/2021 21:04,813 944 879 695
06/02/2021 21:14,816 944 883 698
06/02/2021 21:24,815 945 882 697
06/02/2021 21:34,811 943 880 696
06/02/2021 21:44,811 943 878 694
06/02/2021 21:54,814 946 882 697
06/02/2021 22:04,810 943 878 693
06/02/2021 22:14,811 944 879 694
06/02/2021 22:24,812 943 877 692
06/02/2021 22:34,810 943 878 693
06/02/2021 22:44,811 943 878 692
06/02/2021 22:54,812 942 876 690
06/02/2021 23:04,808 942 876 689
06/02/2021 23:14,807 939 872 685
06/02/2021 23:24,808 939 872 684
06/02/2021 23:34,805 938 870 682
06/02/2021 23:44,804 939 871 682
06/02/2021 23:54,801 937 868 678
06/03/2021 00:04,800 936 866 675
06/03/2021 00:14,802 936 866 674
06/03/2021 00:24,797 935 863 670
06/03/2021 00:34,797 935 864 670
06/03/2021 00:44,793 932 859 664
06/03/2021 00:54,793 931 856 660
06/03/2021 01:04,791 930 856 659
06/03/2021 01:14,787 929 854 655
06/03/2021 01:24,786 927 849 650
06/03/2021 01:34,781 925 846 645
06/03/2021 01:44,782 924 844 641
06/03/2021 01:54,782 923 842 638
06/03/2021 02:04,779 923 842 636
06/03/2021 02:14,777 921 839 632
06/03/2021 02:24,775 918 835 626
06/03/2021 02:34,771 917 834 623
06/03/2021 02:44,763 917 832 620
06/03/2021 02:54,765 911 829 615
06/03/2021 03:04,764 910 824 610
06/03/2021 03:14,762 910 822 606
06/03/2021 03:24,760 906 820 602
06/03/2021 03:34,755 907 818 598
06/03/2021 03:44,752 907 817 595
06/03/2021 03:54,753 905 818 594
06/03/2021 04:04,751 905 813 589
06/03/2021 04:14,750 906 814 587
06/03/2021 04:24,749 905 813 584
06/03/2021 04:34,744 902 809 579
06/03/2021 04:44,743 904 810 578
06/03/2021 04:54,739 903 807 574
06/03/2021 05:04,740 901 804 570
06/03/2021 05:14,738 902 804 567
06/03/2021 05:24,738 902 803 565
06/03/2021 05:34,734 900 800 560
06/03/2021 05:44,726 890 788 548
06/03/2021 05:54,717 878 774 533
06/03/2021 06:04,706 869 761 519
06/03/2021 06:14,695 856 745 503
06/03/2021 06:24,684 849 731 489
06/03/2021 06:34,674 835 713 472
06/03/2021 06:44,659 815 697 457
