Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.41947
0.10000,0.03333,-0.40431
0.20000,0.07875,-0.38600
0.30000,0.12229,-0.35818
0.40000,0.16500,-0.34475
0.50000,0.20729,-0.32142
0.60000,0.24875,-0.30303
0.70000,0.29062,-0.28275
0.80000,0.33292,-0.26708
0.90000,0.37500,-0.24440
1.00000,0.41667,-0.22707
1.10000,0.45750,-0.20903
1.20000,0.50000,-0.18176
1.30000,0.54250,-0.15847
1.40000,0.58375,-0.13788
1.50000,0.62562,-0.11508
1.60000,0.66667,-0.09803
1.70000,0.70833,-0.07041
1.80000,0.75083,-0.04564
1.90000,0.79250,-0.02113
2.00000,0.83375,0.00443
2.10000,0.87437,0.02485
2.20000,0.91625,0.04695
2.30000,0.95854,0.07281
2.40000,1.00041,0.09542
2.50000,1.04146,0.12054
2.60000,1.08271,0.14619
2.70000,1.12437,0.17011
2.80000,1.16646,0.19208
2.90000,1.20812,0.21817
3.00000,1.24979,0.24307
3.10000,1.29104,0.26570
3.20000,1.33333,0.29064
3.30000,1.37562,0.31706
3.40000,1.41708,0.33906
3.50000,1.45896,0.36222
3.60000,1.50000,0.38377
3.70000,1.54187,0.41157
3.80000,1.58396,0.43133
3.90000,1.62583,0.45264
4.00000,1.66729,0.47927
4.10000,1.70812,0.49721
4.20000,1.74958,0.52153
4.30000,1.79166,0.54429
4.40000,1.83375,0.56674
4.50000,1.87479,0.58703
4.60000,1.91583,0.60530
4.70000,1.95791,0.63354
4.80000,1.99958,0.65506
4.90000,2.04145,0.67558
5.00000,2.08312,0.69969
5.10000,2.12395,0.71726
5.20000,2.16666,0.73806
5.30000,2.20875,0.76414
5.40000,2.25104,0.78354
5.50000,2.29229,0.80030
5.60000,2.33354,0.81914
5.70000,2.37541,0.84014
5.80000,2.41729,0.85882
5.90000,2.45937,0.88304
6.00000,2.50041,0.89784
6.10000,2.54125,0.91711
6.20000,2.58333,0.93676
6.30000,2.62500,0.95708
6.40000,2.66708,0.98027
6.50000,2.70812,0.99358
6.60000,2.74937,1.01434
6.70000,2.79125,1.03443
6.80000,2.83250,1.05113
6.90000,2.87479,1.06974
7.00000,2.91625,1.08526
7.10000,2.95791,1.10440
7.20000,3.00020,1.12759
7.30000,3.04270,1.14803
7.40000,3.08437,1.15919
7.50000,3.12541,1.17746
7.60000,3.16687,1.19192
7.70000,3.20874,1.21278
7.80000,3.25083,1.23112
7.90000,3.29270,1.25072
8.00000,3.33395,1.26640
8.10000,3.37479,1.27646
8.20000,3.41645,1.29778
8.30000,3.45854,1.31587
8.40000,3.49979,1.32487
8.50000,3.54145,1.34883
8.60000,3.58249,1.35876
8.70000,3.62374,1.38054
8.80000,3.66604,1.40011
8.90000,3.70812,1.41325
9.00000,3.74958,1.43011
9.10000,3.79083,1.44175
9.20000,3.83312,1.46077
9.30000,3.87541,1.47811
9.40000,3.91728,1.49608
9.50000,3.95895,1.50986
9.60000,3.99958,1.52049
9.70000,4.04187,1.53458
9.80000,4.08374,1.55295
9.90000,4.12624,1.57064
10.00000,4.16749,1.58799
10.10000,4.20812,1.59329
10.20000,4.24999,1.61144
10.30000,4.29208,1.63013
10.40000,4.33353,1.64325
10.50000,4.37499,1.66020
10.60000,4.41624,1.67007
10.70000,4.45770,1.68739
10.80000,4.49978,1.70083
10.90000,4.54145,1.71917
11.00000,4.58270,1.73487
11.10000,4.62437,1.74209
11.20000,4.66645,1.75800
11.30000,4.70853,1.77660
11.40000,4.74999,1.79124
11.50000,4.79187,1.80311
11.60000,4.83291,1.81551
11.70000,4.87541,1.83038
11.80000,4.91770,1.84570
11.90000,4.95957,1.86055
12.00000,5.00041,1.87360
12.10000,5.04145,1.88467
12.20000,5.08312,1.90052
12.30000,5.12541,1.91333
12.40000,5.16687,1.93178
12.50000,5.20812,1.94316
12.60000,5.24937,1.95243
12.70000,5.29082,1.96859
12.80000,5.33332,1.98407
12.90000,5.37499,1.99857
13.00000,5.41624,2.01219
13.10000,5.45749,2.02468
13.20000,5.49978,2.03948
13.30000,5.54187,2.05417
13.40000,5.58374,2.06881
13.50000,5.62499,2.08259
13.60000,5.66624,2.08953
13.70000,5.70812,2.10779
13.80000,5.75062,2.12134
13.90000,5.79249,2.13580
14.00000,5.83374,2.14764
14.10000,5.87437,2.15705
14.20000,5.91645,2.17321
14.30000,5.95853,2.19008
14.40000,6.00020,2.20253
14.50000,6.04166,2.21523
14.60000,6.08270,2.22762
14.70000,6.12478,2.24243
14.80000,6.16645,2.25632
14.90000,6.20832,2.27168
15.00000,6.24936,2.28024
15.10000,6.29082,2.29143
15.20000,6.33311,2.31038
15.30000,6.37541,2.32452
15.40000,6.41707,2.33631
15.50000,6.45832,2.34860
15.60000,6.49957,2.35813
15.70000,6.54186,2.37318
15.80000,6.58436,2.39399
15.90000,6.62582,2.40520
16.00000,6.66749,2.41636
16.10000,6.70811,2.42657
16.20000,6.74978,2.44234
16.30000,6.79207,2.45549
16.40000,6.83332,2.47126
16.50000,6.87457,2.48291
16.60000,6.91582,2.49415
16.70000,6.95770,2.50702
16.80000,6.99978,2.51906
16.90000,7.04145,2.53457
