Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.38259
0.10000,0.03375,-0.36192
0.20000,0.07896,-0.34393
0.30000,0.12229,-0.33087
0.40000,0.16521,-0.31575
0.50000,0.20729,-0.30294
0.60000,0.24854,-0.29659
0.70000,0.29062,-0.28799
0.80000,0.33312,-0.27572
0.90000,0.37479,-0.26854
1.00000,0.41646,-0.26087
1.10000,0.45750,-0.24931
1.20000,0.49979,-0.23782
1.30000,0.54229,-0.22605
1.40000,0.58396,-0.21688
1.50000,0.62542,-0.20407
1.60000,0.66667,-0.19563
1.70000,0.70833,-0.17881
1.80000,0.75062,-0.16814
1.90000,0.79250,-0.14756
2.00000,0.83396,-0.13418
2.10000,0.87458,-0.11872
2.20000,0.91646,-0.09309
2.30000,0.95854,-0.06600
2.40000,1.00021,-0.03918
2.50000,1.04166,-0.00415
2.60000,1.08250,0.02978
2.70000,1.12416,0.07197
2.80000,1.16646,0.12375
2.90000,1.20791,0.17608
3.00000,1.24937,0.23679
3.10000,1.29083,0.29930
3.20000,1.33312,0.36905
3.30000,1.37562,0.43777
3.40000,1.41708,0.51175
3.50000,1.45875,0.58229
3.60000,1.50000,0.65522
3.70000,1.54187,0.73113
3.80000,1.58437,0.80461
3.90000,1.62562,0.87372
4.00000,1.66729,0.94790
4.10000,1.70833,1.01063
4.20000,1.74958,1.08186
4.30000,1.79208,1.15202
4.40000,1.83375,1.21289
4.50000,1.87479,1.28009
4.60000,1.91604,1.33790
4.70000,1.95771,1.40182
4.80000,1.99979,1.46735
4.90000,2.04166,1.52369
5.00000,2.08270,1.57759
5.10000,2.12458,1.64014
5.20000,2.16666,1.69786
5.30000,2.20895,1.75401
5.40000,2.25062,1.80445
5.50000,2.29229,1.86191
5.60000,2.33312,1.90629
5.70000,2.37479,1.95859
5.80000,2.41729,2.01791
5.90000,2.45916,2.07005
6.00000,2.50083,2.11653
6.10000,2.54166,2.16643
6.20000,2.58333,2.21834
6.30000,2.62541,2.26456
6.40000,2.66708,2.31477
6.50000,2.70791,2.35732
6.60000,2.74958,2.39590
6.70000,2.79104,2.44826
6.80000,2.83312,2.49104
6.90000,2.87500,2.53862
7.00000,2.91625,2.58110
7.10000,2.95749,2.61855
7.20000,3.00020,2.67056
7.30000,3.04229,2.71315
7.40000,3.08395,2.75625
7.50000,3.12541,2.79333
7.60000,3.16666,2.83261
7.70000,3.20874,2.87846
7.80000,3.25041,2.92094
7.90000,3.29249,2.96237
8.00000,3.33374,2.99987
8.10000,3.37458,3.04013
8.20000,3.41666,3.08030
8.30000,3.45854,3.12303
8.40000,3.50041,3.15629
8.50000,3.54145,3.19613
8.60000,3.58249,3.23031
