Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.31169
0.10000,0.02583,-0.29304
0.20000,0.07458,-0.28021
0.30000,0.12000,-0.27278
0.40000,0.16375,-0.25295
0.50000,0.20667,-0.24620
0.60000,0.24812,-0.23384
0.70000,0.29042,-0.21847
0.80000,0.33292,-0.20904
0.90000,0.37458,-0.19779
1.00000,0.41687,-0.18539
1.10000,0.45750,-0.17624
1.20000,0.49979,-0.15635
1.30000,0.54229,-0.13977
1.40000,0.58375,-0.12560
1.50000,0.62562,-0.10520
1.60000,0.66667,-0.09054
1.70000,0.70854,-0.06534
1.80000,0.75083,-0.04717
1.90000,0.79250,-0.02563
2.00000,0.83396,-0.00002
2.10000,0.87437,0.01824
2.20000,0.91625,0.05004
2.30000,0.95812,0.07877
2.40000,1.00021,0.10772
2.50000,1.04166,0.13554
2.60000,1.08271,0.16213
2.70000,1.12458,0.19741
2.80000,1.16646,0.23039
2.90000,1.20812,0.26330
3.00000,1.24958,0.29625
3.10000,1.29083,0.32284
3.20000,1.33312,0.36259
3.30000,1.37562,0.39757
3.40000,1.41666,0.43120
3.50000,1.45896,0.46291
3.60000,1.50000,0.49243
3.70000,1.54208,0.52838
3.80000,1.58396,0.56354
3.90000,1.62583,0.59849
4.00000,1.66729,0.62840
4.10000,1.70812,0.65483
4.20000,1.74979,0.68973
4.30000,1.79166,0.72454
4.40000,1.83354,0.75208
4.50000,1.87458,0.78332
4.60000,1.91583,0.80934
4.70000,1.95791,0.84256
4.80000,1.99979,0.87236
4.90000,2.04166,0.90066
5.00000,2.08312,0.93333
5.10000,2.12458,0.96025
5.20000,2.16666,0.98827
5.30000,2.20895,1.02330
5.40000,2.25083,1.04787
5.50000,2.29187,1.07292
5.60000,2.33312,1.09895
5.70000,2.37541,1.12983
5.80000,2.41750,1.15687
5.90000,2.45937,1.18596
6.00000,2.50041,1.21193
6.10000,2.54145,1.23765
6.20000,2.58291,1.26294
6.30000,2.62479,1.28934
6.40000,2.66645,1.31249
6.50000,2.70812,1.34038
6.60000,2.74958,1.36313
6.70000,2.79104,1.39087
6.80000,2.83312,1.41209
6.90000,2.87520,1.44269
7.00000,2.91625,1.46564
7.10000,2.95791,1.48800
7.20000,2.99999,1.50887
7.30000,3.04249,1.53536
7.40000,3.08395,1.55921
7.50000,3.12541,1.58142
7.60000,3.16666,1.60388
7.70000,3.20874,1.62494
7.80000,3.25083,1.65077
7.90000,3.29249,1.66910
8.00000,3.33416,1.69146
8.10000,3.37479,1.71352
8.20000,3.41624,1.73593
8.30000,3.45833,1.75731
8.40000,3.49979,1.77881
8.50000,3.54104,1.79861
8.60000,3.58229,1.81573
8.70000,3.62395,1.84159
8.80000,3.66624,1.85929
8.90000,3.70812,1.88230
9.00000,3.74999,1.90086
9.10000,3.79083,1.91813
9.20000,3.83333,1.94022
9.30000,3.87541,1.96213
9.40000,3.91749,1.98381
9.50000,3.95874,2.00059
9.60000,3.99999,2.01663
9.70000,4.04208,2.03915
9.80000,4.08416,2.05979
9.90000,4.12583,2.07902
10.00000,4.16728,2.09542
10.10000,4.20791,2.11542
10.20000,4.24978,2.13213
10.30000,4.29166,2.15367
10.40000,4.33353,2.17237
10.50000,4.37499,2.18257
10.60000,4.41624,2.20164
10.70000,4.45812,2.21941
10.80000,4.49999,2.23946
10.90000,4.54166,2.26010
11.00000,4.58270,2.27577
11.10000,4.62437,2.28912
11.20000,4.66645,2.31121
11.30000,4.70874,2.33103
11.40000,4.75041,2.34941
11.50000,4.79208,2.36055
11.60000,4.83312,2.37899
11.70000,4.87499,2.40436
11.80000,4.91749,2.42162
11.90000,4.95937,2.43704
12.00000,5.00041,2.45495
12.10000,5.04103,2.46935
12.20000,5.08312,2.47861
12.30000,5.12520,2.50069
12.40000,5.16666,2.49354
12.50000,5.20791,2.49620
12.60000,5.24937,2.50790
12.70000,5.29103,2.48655
12.80000,5.33332,2.50067
12.90000,5.37478,2.51925
13.00000,5.41603,2.53092
13.10000,5.45749,2.53717
13.20000,5.49916,2.63442
13.30000,5.54207,2.66525
13.40000,5.58374,2.68595
13.50000,5.62541,2.70086
13.60000,5.66645,2.71601
13.70000,5.70874,2.73562
13.80000,5.75082,2.75866
13.90000,5.79249,2.77562
14.00000,5.83395,2.79206
14.10000,5.87457,2.80565
