Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.47142
0.10000,0.03312,-0.46668
0.20000,0.07854,-0.46077
0.30000,0.12208,-0.45706
0.40000,0.16500,-0.44826
0.50000,0.20729,-0.43933
0.60000,0.24854,-0.44046
0.70000,0.29042,-0.42958
0.80000,0.33312,-0.42515
0.90000,0.37500,-0.41990
1.00000,0.41667,-0.41353
1.10000,0.45729,-0.41103
1.20000,0.49979,-0.40330
1.30000,0.54229,-0.39646
1.40000,0.58417,-0.39354
1.50000,0.62542,-0.38740
1.60000,0.66687,-0.38344
1.70000,0.70854,-0.37531
1.80000,0.75104,-0.37214
1.90000,0.79271,-0.36333
2.00000,0.83396,-0.35888
2.10000,0.87458,-0.35369
2.20000,0.91625,-0.34670
2.30000,0.95854,-0.33880
2.40000,1.00021,-0.33086
2.50000,1.04125,-0.32363
2.60000,1.08229,-0.31901
2.70000,1.12396,-0.30863
2.80000,1.16646,-0.30540
2.90000,1.20812,-0.29655
3.00000,1.24979,-0.28163
3.10000,1.29083,-0.27726
3.20000,1.33291,-0.26380
3.30000,1.37541,-0.25586
3.40000,1.41729,-0.24579
3.50000,1.45916,-0.23513
3.60000,1.50021,-0.22899
3.70000,1.54187,-0.21271
3.80000,1.58416,-0.20309
3.90000,1.62583,-0.19005
4.00000,1.66729,-0.17711
4.10000,1.70812,-0.16599
4.20000,1.74958,-0.15312
4.30000,1.79187,-0.14136
4.40000,1.83375,-0.12179
4.50000,1.87479,-0.11132
4.60000,1.91562,-0.09855
4.70000,1.95771,-0.08139
4.80000,1.99979,-0.06566
4.90000,2.04166,-0.05309
5.00000,2.08312,-0.03791
5.10000,2.12458,-0.02288
5.20000,2.16666,-0.00408
5.30000,2.20895,0.01228
5.40000,2.25041,0.03062
5.50000,2.29229,0.04433
5.60000,2.33354,0.05731
5.70000,2.37500,0.07844
5.80000,2.41750,0.10565
5.90000,2.45916,0.11595
6.00000,2.50020,0.13171
6.10000,2.54125,0.14757
6.20000,2.58291,0.16149
