Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.11983
0.10000,0.03333,-0.11349
0.20000,0.07875,-0.10818
0.30000,0.12208,-0.10937
0.40000,0.16500,-0.10380
0.50000,0.20729,-0.10379
0.60000,0.24854,-0.10521
0.70000,0.29042,-0.10266
0.80000,0.33312,-0.09956
0.90000,0.37500,-0.10033
1.00000,0.41667,-0.09878
1.10000,0.45750,-0.10016
1.20000,0.50000,-0.09730
1.30000,0.54229,-0.09879
1.40000,0.58396,-0.09779
1.50000,0.62542,-0.09599
1.60000,0.66667,-0.10335
1.70000,0.70854,-0.09643
1.80000,0.75104,-0.09815
1.90000,0.79250,-0.09698
2.00000,0.83396,-0.09704
2.10000,0.87458,-0.10200
2.20000,0.91625,-0.09832
2.30000,0.95875,-0.09237
2.40000,1.00021,-0.09251
2.50000,1.04125,-0.09296
2.60000,1.08229,-0.09542
2.70000,1.12375,-0.09173
2.80000,1.16625,-0.09333
2.90000,1.20812,-0.09290
3.00000,1.24979,-0.08962
3.10000,1.29083,-0.09211
3.20000,1.33291,-0.08722
3.30000,1.37541,-0.09157
3.40000,1.41750,-0.08977
3.50000,1.45937,-0.09044
3.60000,1.50000,-0.09240
3.70000,1.54187,-0.08674
3.80000,1.58437,-0.08683
3.90000,1.62583,-0.08572
4.00000,1.66729,-0.08896
4.10000,1.70812,-0.09184
4.20000,1.74958,-0.08935
4.30000,1.79166,-0.09136
4.40000,1.83354,-0.08419
4.50000,1.87458,-0.08979
4.60000,1.91562,-0.08679
4.70000,1.95771,-0.08413
4.80000,1.99979,-0.08454
4.90000,2.04166,-0.08625
5.00000,2.08291,-0.08355
5.10000,2.12458,-0.08521
5.20000,2.16666,-0.08229
5.30000,2.20916,-0.07543
5.40000,2.25062,-0.07998
5.50000,2.29250,-0.08388
5.60000,2.33354,-0.08487
5.70000,2.37500,-0.07846
5.80000,2.41750,-0.07898
5.90000,2.45916,-0.07673
6.00000,2.50041,-0.08043
6.10000,2.54125,-0.08385
6.20000,2.58312,-0.08177
6.30000,2.62520,-0.08020
6.40000,2.66708,-0.08000
6.50000,2.70812,-0.08084
6.60000,2.74937,-0.07866
6.70000,2.79083,-0.07563
6.80000,2.83291,-0.07679
6.90000,2.87458,-0.07819
7.00000,2.91604,-0.07851
7.10000,2.95770,-0.07680
7.20000,3.00041,-0.07464
7.30000,3.04270,-0.07049
7.40000,3.08416,-0.07349
7.50000,3.12562,-0.07216
7.60000,3.16687,-0.07441
7.70000,3.20874,-0.07374
7.80000,3.25083,-0.07409
7.90000,3.29270,-0.07377
8.00000,3.33395,-0.07153
8.10000,3.37479,-0.07825
8.20000,3.41624,-0.07389
8.30000,3.45833,-0.07272
8.40000,3.49999,-0.07179
