Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.37495
0.10000,0.03354,-0.35116
0.20000,0.07896,-0.32145
0.30000,0.12229,-0.30611
0.40000,0.16521,-0.28481
0.50000,0.20729,-0.26639
0.60000,0.24833,-0.25867
0.70000,0.29062,-0.23451
0.80000,0.33312,-0.21894
0.90000,0.37500,-0.20358
1.00000,0.41646,-0.18625
1.10000,0.45729,-0.17297
1.20000,0.49979,-0.15020
1.30000,0.54229,-0.13416
1.40000,0.58396,-0.11071
1.50000,0.62542,-0.09290
1.60000,0.66667,-0.07112
1.70000,0.70854,-0.04264
1.80000,0.75083,-0.01655
1.90000,0.79250,0.01172
2.00000,0.83396,0.04428
2.10000,0.87458,0.07286
2.20000,0.91646,0.11468
2.30000,0.95854,0.15971
2.40000,1.00021,0.20240
2.50000,1.04166,0.25261
2.60000,1.08250,0.30198
2.70000,1.12416,0.36957
2.80000,1.16646,0.43502
2.90000,1.20812,0.50218
3.00000,1.24958,0.58064
3.10000,1.29062,0.65621
3.20000,1.33312,0.74000
3.30000,1.37562,0.82433
3.40000,1.41708,0.91244
3.50000,1.45854,1.00072
3.60000,1.50000,1.07837
3.70000,1.54166,1.16961
3.80000,1.58458,1.25753
3.90000,1.62604,1.34059
4.00000,1.66750,1.42411
4.10000,1.70833,1.49714
4.20000,1.74958,1.57831
4.30000,1.79187,1.65856
4.40000,1.83354,1.73116
4.50000,1.87458,1.80219
4.60000,1.91604,1.87033
4.70000,1.95771,1.93975
4.80000,1.99979,2.00854
4.90000,2.04145,2.07836
5.00000,2.08291,2.14011
5.10000,2.12437,2.20174
5.20000,2.16645,2.26792
5.30000,2.20875,2.32904
5.40000,2.25062,2.39152
5.50000,2.29229,2.45059
5.60000,2.33333,2.50446
5.70000,2.37520,2.56797
5.80000,2.41750,2.62544
5.90000,2.45916,2.68580
6.00000,2.50062,2.74066
6.10000,2.54145,2.78869
6.20000,2.58291,2.84795
6.30000,2.62520,2.90493
6.40000,2.66729,2.95499
6.50000,2.70812,3.00658
