Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00021,-0.20210
0.10000,0.03312,-0.19516
0.20000,0.07854,-0.19137
0.30000,0.12229,-0.19799
0.40000,0.16500,-0.18091
0.50000,0.20729,-0.18310
0.60000,0.24854,-0.18550
0.70000,0.29042,-0.17845
0.80000,0.33312,-0.18225
0.90000,0.37500,-0.17649
1.00000,0.41667,-0.17975
1.10000,0.45750,-0.18232
1.20000,0.50000,-0.17061
1.30000,0.54229,-0.17089
1.40000,0.58396,-0.17391
1.50000,0.62542,-0.17036
1.60000,0.66667,-0.17486
1.70000,0.70854,-0.16918
1.80000,0.75104,-0.16625
1.90000,0.79250,-0.16876
2.00000,0.83396,-0.17094
2.10000,0.87458,-0.17004
2.20000,0.91625,-0.17008
2.30000,0.95896,-0.16523
2.40000,1.00000,-0.16527
2.50000,1.04146,-0.16421
2.60000,1.08250,-0.16892
2.70000,1.12375,-0.16233
2.80000,1.16583,-0.16353
2.90000,1.20791,-0.15972
3.00000,1.24958,-0.15878
3.10000,1.29083,-0.16153
3.20000,1.33312,-0.15892
3.30000,1.37562,-0.15550
3.40000,1.41729,-0.15680
3.50000,1.45896,-0.15617
3.60000,1.50000,-0.15775
3.70000,1.54187,-0.15513
3.80000,1.58416,-0.15257
3.90000,1.62583,-0.15167
4.00000,1.66729,-0.15470
4.10000,1.70812,-0.15586
4.20000,1.74958,-0.15307
4.30000,1.79208,-0.15103
4.40000,1.83375,-0.14892
4.50000,1.87479,-0.14653
4.60000,1.91604,-0.15113
4.70000,1.95771,-0.14899
4.80000,2.00000,-0.14755
4.90000,2.04125,-0.14745
5.00000,2.08270,-0.14415
5.10000,2.12437,-0.14767
5.20000,2.16666,-0.14374
5.30000,2.20916,-0.14753
5.40000,2.25083,-0.13857
5.50000,2.29250,-0.14410
5.60000,2.33354,-0.14391
5.70000,2.37500,-0.13904
5.80000,2.41750,-0.13886
5.90000,2.45916,-0.14053
6.00000,2.50041,-0.13968
6.10000,2.54125,-0.14137
6.20000,2.58312,-0.13968
6.30000,2.62500,-0.13852
6.40000,2.66708,-0.13531
6.50000,2.70812,-0.13774
6.60000,2.74937,-0.13624
6.70000,2.79062,-0.13331
6.80000,2.83312,-0.13511
6.90000,2.87500,-0.13244
7.00000,2.91645,-0.13419
7.10000,2.95770,-0.13502
7.20000,3.00041,-0.12894
7.30000,3.04249,-0.13164
7.40000,3.08395,-0.13113
7.50000,3.12562,-0.12712
7.60000,3.16687,-0.13274
7.70000,3.20854,-0.13136
7.80000,3.25062,-0.12769
7.90000,3.29291,-0.12686
8.00000,3.33374,-0.13031
8.10000,3.37479,-0.12796
8.20000,3.41645,-0.12204
8.30000,3.45833,-0.12858
8.40000,3.50020,-0.12305
8.50000,3.54145,-0.12412
8.60000,3.58249,-0.12612
8.70000,3.62374,-0.12344
8.80000,3.66604,-0.12460
8.90000,3.70833,-0.12378
9.00000,3.74979,-0.11984
9.10000,3.79104,-0.12423
9.20000,3.83333,-0.11816
9.30000,3.87541,-0.11722
9.40000,3.91749,-0.11927
9.50000,3.95895,-0.11842
9.60000,3.99999,-0.11893
9.70000,4.04166,-0.12006
9.80000,4.08374,-0.11575
9.90000,4.12603,-0.11382
10.00000,4.16708,-0.11447
10.10000,4.20812,-0.11900
10.20000,4.24978,-0.11451
10.30000,4.29187,-0.11374
10.40000,4.33374,-0.11452
10.50000,4.37478,-0.11428
10.60000,4.41603,-0.10941
10.70000,4.45791,-0.11283
10.80000,4.49978,-0.11069
10.90000,4.54166,-0.11268
11.00000,4.58312,-0.10902
11.10000,4.62437,-0.10756
11.20000,4.66645,-0.10238
11.30000,4.70874,-0.10535
11.40000,4.75062,-0.10411
11.50000,4.79208,-0.10596
11.60000,4.83291,-0.10480
11.70000,4.87520,-0.10400
11.80000,4.91728,-0.10414
11.90000,4.95937,-0.10471
12.00000,5.00062,-0.10022
12.10000,5.04145,-0.10460
12.20000,5.08291,-0.10113
12.30000,5.12499,-0.10128
12.40000,5.16666,-0.09959
12.50000,5.20791,-0.09989
12.60000,5.24937,-0.09748
12.70000,5.29103,-0.10081
12.80000,5.33312,-0.09884
12.90000,5.37478,-0.09479
13.00000,5.41645,-0.09455
13.10000,5.45707,-0.09732
13.20000,5.49957,-0.09197
13.30000,5.54207,-0.09212
13.40000,5.58416,-0.09382
13.50000,5.62562,-0.08902
13.60000,5.66624,-0.09361
13.70000,5.70832,-0.09053
13.80000,5.75062,-0.08957
13.90000,5.79249,-0.08811
14.00000,5.83374,-0.09043
14.10000,5.87457,-0.08839
14.20000,5.91645,-0.08960
14.30000,5.95832,-0.08574
14.40000,5.99999,-0.08312
14.50000,6.04145,-0.08717
14.60000,6.08291,-0.08765
14.70000,6.12395,-0.08289
14.80000,6.16645,-0.08494
14.90000,6.20811,-0.08829
15.00000,6.24895,-0.08081
15.10000,6.29061,-0.08600
15.20000,6.33291,-0.08301
15.30000,6.37561,-0.07648
15.40000,6.41749,-0.08213
15.50000,6.45895,-0.07698
15.60000,6.49999,-0.07829
15.70000,6.54166,-0.07950
15.80000,6.58436,-0.07777
15.90000,6.62582,-0.07822
16.00000,6.66749,-0.07510
16.10000,6.70791,-0.07991
16.20000,6.74978,-0.07477
16.30000,6.79186,-0.07296
16.40000,6.83353,-0.07789
16.50000,6.87457,-0.07521
16.60000,6.91603,-0.07543
16.70000,6.95770,-0.07357
16.80000,6.99978,-0.06897
